Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
113.997316360,3.420384,0.681049,-42.18199,-0.06055742,-0.04569681,0.9873596,-25.78634,-25.74887,-29.27125,995.1516
114.998616219,1.256385,-0.3259659,-21.99745,-0.05567145,-0.07275844,0.9949111,-14.00793,-25.66545,-28.49806,995.1427
115.997443676,0.8235857,0.02945117,-8.093893,-0.06648799,-0.04195911,0.9946274,-10.71131,-23.4891,-27.64444,995.1464
116.998743534,0.143472,-0.08902118,-0.9591745,-0.07196124,-0.04150473,0.9846361,-9.597328,-23.48051,-28.09161,995.1498
117.997570515,-0.1656706,-0.2667297,0.01651345,-0.0779426,-0.03723598,0.9833194,-10.7129,-23.48851,-28.087,995.1481
118.998870373,-0.04201359,0.08868733,0.1994549,-0.07987753,-0.03873093,0.985687,-10.33945,-23.48643,-27.64598,995.1608
119.997698307,-0.04201359,0.02945117,-0.166428,-0.0739039,-0.04156443,0.9898977,-9.978317,-23.11401,-28.0931,995.1498
120.998998165,0.2053005,0.02945117,0.01651345,-0.0793248,-0.03926482,0.9961791,-10.34104,-23.48585,-28.08853,995.1525
121.997825623,-3.380754,-0.2074935,42.15404,-0.06109479,-0.04089928,0.9931887,-15.11436,-26.04263,-28.49042,995.1415
122.999125481,-2.638812,-0.2074935,34.95834,-0.07100331,-0.00476935,0.9939623,-27.29203,-25.0212,-29.27115,995.1396
123.997952938,-0.6602988,0.2071597,1.114162,-0.07741725,-0.005805082,0.9882438,-32.88103,-22.16836,-29.71459,995.1428
124.999252796,-0.04201359,0.08868733,0.1994549,-0.07294151,-0.04009802,0.9899222,-32.86118,-22.90728,-29.26599,995.1411
125.998079777,0.08164347,0.2071597,-0.4713306,-0.0714574,-0.04008285,0.9913475,-32.48932,-22.90461,-29.26752,995.1464
126.996907711,3.234898,-0.1482573,-41.08434,-0.06074979,-0.03312112,0.9876123,-27.28131,-25.39095,-28.82557,995.1446
127.998208046,0.8854143,0.2071597,-10.47213,-0.07090434,-0.04156831,0.9989555,-18.40069,-26.06561,-28.91939,995.1462
128.997035027,-0.04201359,0.1479235,1.723967,-0.07754958,-0.02903468,0.9887344,-15.48622,-26.0453,-28.48889,995.1428
129.998334885,0.01981494,-0.3852021,-0.1054475,-0.07435521,-0.04161686,0.998017,-15.13104,-25.30487,-28.05392,995.1498
130.997162342,0.08164347,0.08868733,0.1994549,-0.07302565,-0.03382334,0.9924359,-15.51362,-24.93778,-28.49796,995.1516
131.998462200,-0.04201359,-0.029785,0.01651345,-0.07836157,-0.04017733,0.988993,-15.48463,-26.04588,-28.04633,995.1547
132.997289181,-0.1656706,0.02945117,0.1994549,-0.07047024,-0.04054589,0.9903782,-15.43338,-25.67568,-28.49217,995.1437
133.998588562,1.132728,0.2071597,-15.8994,-0.06942903,-0.04392153,0.9912603,-11.81173,-24.17334,-28.07684,995.1398
134.997416496,-0.04201359,0.1479235,2.882597,-0.07294203,-0.03867067,0.9942484,-10.72957,-22.75075,-27.65049,995.1379
135.998715878,-0.1656706,0.2071597,0.2604355,-0.06904498,-0.03761285,0.988997,-10.34263,-23.48526,-28.53109,995.1221
136.997542858,-0.1038421,-0.029785,0.1994549,-0.07191752,-0.04250368,0.9903464,-11.09094,-23.12309,-27.2666,995.1217
137.998843193,-0.04201359,-0.029785,0.1384744,-0.07585621,-0.04161361,0.9932494,-10.33184,-23.79407,-27.64346,995.1253
138.997669697,-0.1038421,-0.1482573,-0.1054475,-0.07634144,-0.04115342,0.9961261,-10.72044,-23.11992,-27.64747,995.1357
139.998969555,-2.515155,-0.3259659,35.56815,-0.06749993,-0.03956661,0.9965906,-12.18517,-24.17542,-28.51785,995.1393
140.997796535,-4.122696,-0.5629106,48.43503,-0.05088065,-0.03061474,0.9995506,-25.79548,-25.3797,-29.27428,995.1481
141.999095917,-1.711384,0.08868733,17.94478,-0.07398222,-0.03814973,0.9847136,-34.00574,-21.80719,-29.713,995.1411
142.997923374,-0.7221273,-0.6813829,-0.3493695,-0.06728004,-0.05502595,0.9929373,-34.77526,-20.70559,-29.27645,995.1261
143.996750355,0.3289576,0.325632,0.07749395,-0.06849556,-0.04242354,0.9855553,-35.13798,-21.07743,-29.27188,995.1257
144.998049736,-0.1656706,-0.1482573,0.1994549,-0.07434889,-0.04590419,0.9859927,-35.15625,-20.33909,-29.27793,995.1208
145.996877193,-0.2274992,-0.08902118,0.1994549,-0.06836238,-0.05112978,0.9853803,-35.51897,-20.71093,-29.27337,995.137
146.998176098,-0.3511562,-0.029785,0.07749395,-0.07745239,-0.03817723,0.9799554,-35.15625,-20.33909,-29.27793,995.1389
147.997003555,-0.3504948,-0.202697,-0.4684228,-0.06949063,-0.04004946,0.9908608,-35.89996,-20.34443,-29.27486,995.1335
148.998302937,2.857866,0.6218802,-37.77003,-0.07277273,0.01169745,0.9861829,-34.36846,-22.17903,-29.70844,995.141
149.997129917,3.661637,0.5034078,-52.03946,-0.04891991,-0.06346087,0.9950629,-19.5069,-26.44287,-28.84854,995.1353
150.998429298,1.250325,0.02951844,-17.40254,-0.07634901,-0.04019395,0.9975781,-11.06506,-24.16908,-27.25803,995.1331
151.997256279,-0.1099029,-0.0889539,-0.8768214,-0.07742363,-0.03773303,0.9871271,-11.0818,-23.49226,-27.26357,995.1349
152.998555660,-0.1717314,0.1479908,0.1598471,-0.07383989,-0.04543914,0.9907749,-10.33343,-23.79349,-28.08601,995.1314
153.997383118,0.01375416,0.02951844,0.03788607,-0.07197206,-0.03816372,0.9928212,-11.43828,-24.17125,-27.63582,995.1239
154.998682022,-0.1099029,-0.02971773,0.03788607,-0.07293361,-0.04200906,0.9855861,-10.70075,-23.79782,-26.82004,995.1204
155.997509480,-3.757786,-0.444371,38.7605,-0.06138249,-0.05397159,0.9938835,-13.65116,-24.9256,-27.62054,995.1169
156.998808861,-3.324986,-0.5036072,42.05345,-0.06254672,-0.04332758,0.9907598,-26.52847,-25.75479,-28.82562,995.1239
157.997635365,-1.655616,-0.1481901,15.46595,-0.07534844,-0.04447643,0.9874591,-35.91686,-19.60658,-28.90158,995.1239
158.998934746,0.8793535,-0.02971773,-3.559963,-0.0718535,-0.04637838,0.9912235,-37.00675,-18.13754,-28.8461,995.12
159.997761726,-0.2953885,-0.02971773,0.03788607,-0.07248863,-0.0376693,0.9894909,-36.99626,-18.50721,-28.46374,995.1257
160.996588230,0.1374112,0.02951844,0.891613,-0.06901297,-0.0395502,0.9894357,-37.00675,-18.13754,-28.8461,995.1239
161.997888088,0.1992398,0.4441716,-0.3889774,-0.07277308,-0.05312317,0.9834526,-37.01588,-17.76837,-28.84912,995.1314
162.996715069,-0.1099029,0.02951844,-0.08407492,-0.07638757,-0.04015184,0.9899386,-36.63808,-18.13371,-29.73274,995.13
163.998013973,1.806781,0.2072269,-31.18413,-0.06468176,-0.0308116,0.996274,-36.58924,-19.98073,-28.83251,995.1261
164.996841431,2.548723,0.562644,-26.42765,-0.06713998,-0.0332316,0.9895526,-26.91105,-25.3877,-29.26966,995.1102
165.998140812,0.7556965,-0.02971773,-11.06056,-0.07639223,-0.04062236,0.9875416,-22.79027,-26.46695,-28.45562,995.1173
166.996967793,-1.099159,0.2072269,1.379457,-0.07441033,-0.04250791,0.9841509,-21.72755,-26.82856,-28.45695,995.1154
167.998267174,0.01375416,0.0887546,-0.571919,-0.07289729,-0.04252432,0.9913059,-22.41842,-26.46428,-28.45716,995.1261
168.997093678,0.1374112,0.02951844,0.09886657,-0.07805168,-0.02855606,0.9882691,-21.73827,-26.4588,-28.90253,995.1154
169.998393536,0.6320394,0.0887546,-16.42685,-0.06554421,-0.04237477,0.9850637,-19.51603,-26.0737,-28.85156,995.1133
170.997220039,-0.480874,-0.1481901,3.147892,-0.07432686,-0.04687945,0.9874058,-16.17709,-25.68102,-28.48909,995.1169
171.998519421,0.3228968,-0.2666624,-0.7548605,-0.06899352,-0.04004704,0.9918132,-16.53981,-26.05286,-28.48453,995.1151
172.997345924,0.01375416,0.3256993,0.2208276,-0.07792108,-0.03678388,0.9890587,-16.17709,-25.68102,-28.48909,995.1217
173.998645306,-0.1099029,-0.1481901,-0.02309443,-0.07437608,-0.0439721,0.9865091,-16.9208,-25.68635,-28.48602,995.1125
174.997471809,-1.408302,-0.02971773,21.19812,-0.07379017,-0.04977384,0.9873451,-17.29266,-25.68902,-28.48448,995.1287
175.996299267,-0.1717314,0.02951844,7.355546,-0.07536826,-0.0134711,0.9804394,-24.28683,-26.10845,-28.45249,995.1173
176.997597694,0.8793535,-0.5036072,-1.242704,-0.07388033,-0.01060648,0.9914725,-24.28683,-26.10845,-28.45249,995.1265
177.996424198,0.3847253,0.3849355,1.013574,-0.08339017,-0.03443164,0.9857908,-24.67854,-25.37219,-28.89956,995.1212
178.997723579,-0.2953885,-0.5036072,0.4037691,-0.08385887,-0.03303829,0.9948942,-24.28819,-26.10795,-28.83182,995.1208
179.996550083,1.86861,-1.451386,-28.56197,-0.07817103,-0.03175496,0.9543008,-19.86826,-26.81522,-28.46464,995.1208
180.997849464,0.3228968,0.4441716,-8.255462,-0.07048162,-0.04243587,0.9822224,-14.0246,-24.92769,-28.06156,995.1134
181.996675968,0.07558269,0.02951844,-0.08407492,-0.07684528,-0.0425753,0.9894149,-13.29002,-24.55318,-28.06766,995.1169
182.997974396,0.07558269,0.02951844,0.4037691,-0.07439154,-0.0411016,0.9922971,-12.91817,-24.55051,-28.0692,995.113
183.996801376,-4.314243,-0.3851348,44.79757,-0.06051644,-0.04574155,0.9954765,-16.94043,-24.94751,-28.8714,995.1165
184.998099804,-3.201329,-0.2666624,44.61463,-0.06176415,-0.03072599,0.989098,-30.24905,-23.25777,-29.27373,995.1108
185.996926308,-0.2953885,0.02951844,9.123981,-0.07832595,-0.009232538,0.9929551,-36.63512,-18.13479,-28.91086,995.1179
186.998224735,-0.1099029,0.1479908,0.2818081,-0.0754813,-0.03672175,0.9847498,-36.62735,-18.50346,-29.28716,995.1165
187.997051239,-0.1099029,-0.1481901,0.2208276,-0.07344104,-0.04009781,0.9884921,-37.3802,-18.13963,-29.28712,995.1183
188.998350620,0.01375416,0.02951844,-0.02309443,-0.07644144,-0.03771502,0.9866449,-36.63649,-18.13429,-29.29019,995.1323
189.997177124,-0.2953885,-0.1481901,0.1598471,-0.07342882,-0.04058676,0.9894373,-37.74292,-18.51147,-29.28255,995.1306
190.998476028,0.4465538,-0.02971773,-0.69388,-0.07490038,-0.04204244,0.9860728,-37.3802,-18.13963,-29.28712,995.1055
191.997302532,-0.3563507,0.0896024,-0.8837264,-0.07239726,-0.04395188,0.9884096,-37.36034,-18.87855,-28.83851,995.1072
192.996129036,3.101879,0.2687166,-50.20553,-0.05337121,-0.03014582,0.9952749,-34.39427,-21.0721,-29.27496,995.1076
193.997427464,2.978222,0.1502443,-26.24019,-0.06544536,-0.0720396,1.012166,-19.5069,-26.44287,-28.84854,995.1042
194.996254444,1.247023,0.4464251,-15.56861,-0.07225668,-0.0531418,0.9882249,-13.65116,-24.9256,-27.62054,995.1076
195.997553349,-0.2368611,-0.3828813,-0.2015221,-0.07536033,-0.04493905,0.9836295,-13.29161,-24.5526,-28.51021,995.1134
